category_id;2017-01-12;2017-02-12;2017-03-12;2017-04-12;2017-05-12;2017-06-12;2017-07-12;2017-08-12;2017-09-12;2017-10-12;2017-11-12;2017-11-14;2017-11-15;2017-11-16;2017-11-17;2017-11-18;2017-11-19;2017-11-20;2017-11-21;2017-11-22;2017-11-23;2017-11-24;2017-11-25;2017-11-26;2017-11-27;2017-11-28;2017-11-29;2017-11-30;2017-12-12;2017-12-13;2017-12-14;2017-12-15;2017-12-16;2017-12-17;2017-12-18;2017-12-19;2017-12-20;2017-12-21;2017-12-22;2017-12-23;2017-12-24;2017-12-25;2017-12-26;2017-12-27;2017-12-28;2017-12-29;2017-12-30;2017-12-31;2018-01-01;2018-01-02;2018-01-03;2018-01-04;2018-01-05;2018-01-06;2018-01-13;2018-01-14;2018-01-15;2018-01-16;2018-01-17;2018-01-18;2018-01-19;2018-01-20;2018-01-21;2018-01-22;2018-01-23;2018-01-24;2018-01-25;2018-01-26;2018-01-27;2018-01-28;2018-01-29;2018-01-30;2018-01-31;2018-02-01;2018-02-02;2018-02-03;2018-02-04;2018-02-05;2018-02-06;2018-02-13;2018-02-14;2018-02-15;2018-02-16;2018-02-17;2018-02-18;2018-02-19;2018-02-20;2018-02-21;2018-02-22;2018-02-23;2018-02-24;2018-02-25;2018-02-26;2018-02-27;2018-02-28;2018-03-01;2018-03-02;2018-03-03;2018-03-04;2018-03-05;2018-03-06;2018-03-13;2018-03-14;2018-03-15;2018-03-16;2018-03-17;2018-03-18;2018-03-19;2018-03-20;2018-03-21;2018-03-22;2018-03-23;2018-03-24;2018-03-25;2018-03-26;2018-03-27;2018-03-28;2018-03-29;2018-03-30;2018-03-31;2018-04-01;2018-04-02;2018-04-03;2018-04-04;2018-04-05;2018-04-06;2018-04-14;2018-04-15;2018-04-16;2018-04-17;2018-04-18;2018-04-19;2018-04-20;2018-04-21;2018-04-22;2018-04-23;2018-04-24;2018-04-25;2018-04-26;2018-04-27;2018-04-28;2018-04-29;2018-04-30;2018-05-01;2018-05-02;2018-05-03;2018-05-04;2018-05-05;2018-05-06;2018-05-13;2018-05-14;2018-05-15;2018-05-16;2018-05-17;2018-05-18;2018-05-19;2018-05-20;2018-05-21;2018-05-22;2018-05-23;2018-05-24;2018-05-25;2018-05-26;2018-05-27;2018-05-28;2018-05-29;2018-05-30;2018-05-31;2018-06-01;2018-06-02;2018-06-03;2018-06-04;2018-06-05;2018-06-06;2018-06-13;2018-06-14;2018-07-01;2018-07-02;2018-07-03;2018-07-04;2018-07-05;2018-07-06;2018-08-01;2018-08-02;2018-08-03;2018-08-05;2018-08-06;2018-09-01;2018-09-02;2018-09-03;2018-09-05;2018-09-06;2018-10-02;2018-10-03;2018-10-05;2018-10-06;2018-11-02;2018-11-03;2018-11-05;2018-11-06;2018-12-01;2018-12-02;2018-12-03;2018-12-05;2018-12-06
1;9;11;10;10;10;9;10;8;8;8;7;8;10;12;10;9;9;10;10;7;12;12;12;13;13;9;8;10;7;8;9;9;9;10;12;13;14;16;13;15;16;16;16;13;15;18;17;14;15;10;13;9;12;13;10;13;14;14;15;14;11;10;11;11;13;13;11;11;12;11;10;10;10;15;10;10;8;12;12;13;12;16;15;14;12;9;9;6;8;9;8;11;10;9;12;14;7;11;8;14;12;14;14;13;12;13;13;13;12;10;9;10;9;9;8;7;7;6;8;9;12;5;11;7;14;13;13;13;12;12;13;14;15;14;13;12;11;11;11;11;10;10;12;10;8;10;7;12;15;12;13;8;11;11;12;12;12;12;10;10;10;10;10;11;13;13;13;13;12;9;12;9;12;15;15;15;12;9;12;9;9;15;14;11;12;10;17;13;13;12;10;16;14;11;10;16;13;12;12;16;13;13;15;12;16
2;4;3;3;3;3;2;2;2;1;1;1;4;3;3;3;3;4;5;3;2;2;1;1;2;2;2;3;4;2;2;0;0;1;1;1;2;2;2;2;1;0;1;2;2;3;3;3;3;3;2;2;1;0;0;3;2;0;0;4;6;8;7;5;5;5;4;3;2;1;1;1;1;1;3;4;3;1;0;0;6;5;4;4;2;2;2;1;1;2;4;5;5;5;4;4;3;5;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;5;3;3;0;0;3;3;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0;3;8;3;3;0;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;3;8;1;3;0;0;0;0;3;7;0;3;0;0;3;8;0;0;0;4;7;0;0;0;6;0;0;0;6;0;0;0;3;7;0;1;0
10;25;37;42;35;36;38;33;23;27;27;28;45;37;29;29;34;41;44;49;47;36;32;35;34;31;32;31;27;22;26;34;31;36;35;31;31;27;29;27;30;32;32;33;34;28;27;27;27;27;31;28;28;30;43;27;27;25;25;26;20;18;22;23;22;21;24;28;27;34;35;38;38;33;26;27;21;28;29;46;23;26;26;32;37;36;29;31;31;29;24;29;29;30;30;27;24;33;22;29;29;49;26;26;26;29;29;29;29;28;30;30;32;32;29;28;28;27;28;28;28;21;31;21;29;33;49;36;36;35;32;32;29;29;32;30;31;30;30;31;31;32;32;31;23;27;21;30;35;50;36;30;33;34;35;34;34;34;34;35;38;39;40;42;37;40;42;41;41;26;25;21;30;35;51;51;49;28;23;23;34;36;52;25;20;18;37;52;23;20;20;38;52;24;25;40;51;24;24;41;51;22;23;24;39;50
15;4;4;4;4;3;2;3;2;2;2;2;5;4;5;4;4;4;5;3;3;2;3;3;3;2;2;2;2;3;3;5;5;4;5;4;2;1;3;3;4;5;5;6;6;7;7;8;9;9;10;3;3;2;4;7;5;8;7;5;5;4;3;3;8;6;5;8;6;5;7;9;10;11;9;7;3;3;2;4;4;7;6;6;5;5;6;7;8;7;6;4;4;3;4;4;8;5;4;3;4;4;5;5;6;7;4;5;4;5;5;4;4;4;4;3;4;4;4;3;2;8;5;5;3;4;4;1;2;4;4;4;4;4;4;4;5;5;5;5;5;4;4;3;9;6;4;3;4;4;3;4;0;2;2;2;2;2;2;2;3;3;5;4;5;4;4;4;4;9;6;4;3;4;4;4;4;8;6;5;3;4;4;7;5;5;5;4;5;5;5;5;4;5;5;4;4;6;5;3;4;6;4;6;3;4
17;9;8;5;9;11;14;15;13;13;10;7;9;15;20;19;15;15;13;11;9;8;9;9;9;9;9;8;8;6;4;4;4;7;7;9;6;8;9;11;12;10;9;10;10;9;10;10;9;10;12;10;12;15;8;9;8;8;9;9;12;13;14;16;15;14;17;16;13;13;13;12;13;13;10;14;10;12;13;8;10;11;10;10;9;10;12;11;18;18;18;15;16;15;14;12;9;14;11;12;14;8;10;10;10;10;10;14;14;12;13;13;12;12;12;12;12;11;10;11;12;10;9;9;12;13;6;12;12;11;11;11;12;11;11;12;13;13;13;14;14;14;13;14;9;6;10;12;14;6;10;11;9;9;9;9;9;9;7;9;9;8;8;9;9;9;9;10;9;7;7;10;13;14;6;5;5;8;9;9;13;15;5;10;8;10;13;6;9;7;10;14;6;7;8;13;6;9;8;12;6;11;10;9;11;6
19;0;0;0;1;1;1;1;2;2;1;2;1;2;3;2;1;0;1;2;2;2;2;2;1;2;1;1;0;3;2;0;0;1;1;0;2;3;3;4;4;5;5;5;5;6;6;6;4;4;0;3;2;3;1;1;2;2;2;1;2;0;0;0;0;0;0;0;0;0;1;1;0;0;4;0;4;2;2;1;3;2;2;1;1;1;2;2;2;4;4;4;4;3;3;2;3;0;3;2;2;1;2;2;2;2;2;1;2;2;2;3;3;3;4;4;4;3;2;2;2;2;0;4;1;2;2;1;1;2;2;2;2;2;1;2;2;3;3;3;3;3;3;3;6;2;4;1;1;2;0;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;2;3;1;0;1;1;1;6;5;2;1;0;1;6;5;2;0;1;5;6;2;0;1;5;2;0;1;4;2;0;1;2;3;2;0;1
20;2;1;2;2;2;1;2;3;7;7;7;1;1;1;2;2;2;2;2;1;1;1;1;1;1;1;1;1;7;7;5;1;1;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;7;1;4;5;9;4;4;4;4;5;5;6;4;3;3;4;5;5;4;5;5;6;7;7;0;5;1;4;5;8;2;3;3;3;3;3;2;2;1;1;2;1;1;0;0;1;1;6;1;4;5;8;5;5;4;4;4;5;5;5;5;5;5;4;3;4;4;5;6;6;5;1;6;2;4;4;8;3;2;1;1;2;4;4;4;3;5;5;5;5;5;5;5;5;3;5;3;4;3;7;5;5;3;6;5;5;5;6;8;8;8;7;6;8;8;8;8;9;9;3;5;3;4;3;7;20;22;4;3;2;4;3;8;4;4;2;5;8;3;2;4;5;8;1;4;5;10;1;5;5;10;3;2;5;5;18
22;13;14;14;18;18;18;16;22;25;26;25;17;14;11;10;11;11;13;13;16;18;18;18;18;19;17;11;12;23;19;13;17;16;14;15;18;16;15;13;14;15;13;12;13;15;15;14;19;20;16;15;17;22;10;16;17;18;18;16;17;12;12;11;13;15;16;14;16;16;17;16;17;16;19;14;19;18;23;10;16;15;17;18;18;18;18;20;17;14;16;13;13;13;12;12;20;11;17;18;18;10;17;16;17;16;16;17;16;14;13;12;13;14;15;16;18;19;17;15;15;21;14;18;18;15;10;19;20;19;21;19;19;18;18;19;19;22;23;25;23;22;23;23;18;19;17;16;13;10;13;14;13;14;14;13;13;13;13;12;12;12;10;10;11;11;10;10;10;18;17;18;18;13;10;13;13;17;13;17;14;13;11;14;17;20;13;11;14;16;19;11;11;20;18;10;12;19;17;11;12;13;16;17;11;13
23;26;23;19;18;16;17;16;17;16;15;15;13;18;15;18;18;15;16;16;19;18;17;17;18;22;24;24;27;17;18;20;22;20;18;18;19;18;18;19;18;19;20;18;20;19;19;20;21;21;12;15;21;16;18;15;14;13;14;14;15;15;15;18;16;15;16;18;14;14;12;15;12;12;23;15;16;21;17;18;19;15;17;16;17;17;18;17;13;13;16;15;14;14;16;15;19;13;16;19;18;18;14;14;14;14;16;15;15;17;17;18;18;19;19;19;19;18;20;21;21;21;12;16;19;17;18;16;16;16;16;17;18;19;19;17;13;14;12;12;14;14;16;16;18;10;16;20;16;17;17;18;14;16;15;16;16;15;15;16;16;16;17;17;18;17;17;17;18;18;11;18;21;16;17;15;14;20;15;19;21;16;16;17;14;19;17;16;17;16;18;17;16;17;15;17;17;17;14;16;17;14;19;14;16;17
24;47;47;54;54;52;50;52;52;45;49;52;45;45;48;49;48;49;47;41;43;45;48;46;47;48;46;48;47;52;51;51;57;55;54;59;56;56;51;53;46;43;45;43;43;45;45;46;44;43;43;42;54;46;50;51;50;49;46;47;40;40;45;44;41;42;43;46;50;47;45;43;42;43;42;44;38;55;49;49;43;45;43;38;40;39;42;42;44;47;43;47;47;47;42;45;44;47;41;54;50;49;44;44;51;53;52;51;52;56;56;54;54;56;59;60;60;59;57;55;55;44;50;40;58;54;51;47;44;46;45;44;42;44;43;45;46;47;49;48;49;50;46;44;41;51;42;57;56;51;53;61;63;57;57;54;54;54;56;59;57;59;58;54;52;52;51;49;49;38;49;42;52;57;50;48;47;36;49;42;51;57;52;41;47;45;58;50;50;45;43;57;51;41;44;56;50;41;46;58;50;55;42;44;54;48
25;18;19;16;14;14;15;15;17;18;18;20;13;13;13;15;12;9;9;10;14;14;13;14;14;14;14;14;16;23;22;20;19;17;17;15;15;15;18;20;21;20;20;20;19;18;16;15;13;11;17;19;5;6;9;17;18;16;20;21;21;22;24;24;24;22;23;23;20;19;19;17;14;14;10;17;17;4;7;8;17;19;18;16;15;15;15;16;18;18;17;20;21;20;23;21;11;21;16;4;7;7;2;2;2;2;3;3;3;3;4;4;4;4;5;6;5;7;7;6;5;10;21;13;4;5;6;6;7;8;8;9;8;8;8;9;7;7;7;7;7;7;8;9;9;21;12;6;5;5;8;2;11;10;10;11;11;11;13;12;12;12;12;12;13;12;12;10;10;11;22;9;6;5;5;2;2;12;22;8;5;6;5;14;21;7;3;3;18;20;5;6;3;17;5;7;3;17;5;7;3;16;16;2;8;2
